Attribute,Month,Sum of Value
EUR,January,98055.46429000003
EUR,February,85426.05255000005
EUR,March,103815.78677999994
EUR,April,101691.52285999994
EUR,May,108650.52909999987
EUR,June,112762.28406000003
EUR,July,116522.89503999997
EUR,August,120774.4237000001
EUR,September,94099.08664000004
EUR,October,101264.97582000007
EUR,November,90987.91348
EUR,December,96894.03459999996
GBP,January,117531.42895999998
GBP,February,103011.10805000001
GBP,March,124971.56301999991
GBP,April,121078.88833999996
GBP,May,128974.16416000004
GBP,June,133057.54045
GBP,July,138992.39865
GBP,August,141229.58929
GBP,September,109402.15085
GBP,October,120743.3994599999
GBP,November,107842.62220000006
GBP,December,115374.91578000002
USD,January,84131.84971000001
USD,February,72029.84746000012
USD,March,80866.62665999998
USD,April,79601.16524999999
USD,May,84891.52646999998
USD,June,93239.48582000006
USD,July,96962.26500999999
USD,August,99039.21798999999
USD,September,91660.64156000005
USD,October,176414.98209000012
USD,November,168259.46266999986
USD,December,83197.64763000008
